catologNumber,country,locationID,decimalLatitude,decimalLongitude,eventDate,verbatimDepth,samplingProtocol,samplingEffort,sampleSizeValue,sampleSizeUnit,taxonID,scientificName,acceptedNameUsage ,acceptedNameUsageID,individualCount,Abundance,wet weight biomass,Zoobenth_tax_ww_biomass
187,Italy,29,43.72994165,13.61175,2010-11-10,23.7999992370605 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_190,32 min haul duration,0.03900893778,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,0,0.00,0.00,0.00
188,NA,30,44.02031667,14.0219,2010-11-05,23.7999992370605 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_191,33 min haul duration,0.04095472023,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,0,0.00,0.00,0.00
189,Italy,32,44.01539166,14.51762501,2010-11-05,23.9000015258789 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_192,34 min haul duration,0.0414429605,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,0,0.00,0.00,0.00
190,NA,35,43.44798334,14.2065,2010-11-06,23.9000015258789 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_193,34 min haul duration,0.0406890586,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,0,0.00,0.00,0.00
191,Italy,36,43.68183333,14.83404166,2010-11-05,24.1000003814697 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_194,32 min haul duration,0.0354620181,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,0,0.00,0.00,0.00
192,NA,38,43.37211668,14.14920834,2010-11-06,24.1000003814697 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_195,32 min haul duration,0.03829811886,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,0,0.00,0.00,0.00
193,Italy,69,42.66720835,14.25264166,2010-11-18,24.1499996185302 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_196,34 min haul duration,0.0414429605,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,0,0.00,0.00,0.00
194,Italy,72,42.26299167,14.99335,2010-11-07,24.1499996185302 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_197,32 min haul duration,0.03900893778,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,0,0.00,0.00,0.00
195,Italy,75,42.03805,15.47019167,2010-11-07,24.2999992370605 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_198,34 min haul duration,0.0414429605,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,0,0.00,0.00,0.00
196,NA,22,44.39308333,13.66175,2010-11-05,24.2999992370605 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_199,15 min haul duration,0.01828027889,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,0,0.00,0.00,0.00
197,NA,23,44.33554168,14.0401,2010-11-05,24.2999992370605 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_200,10 min haul duration,0.01241421979,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,0,0.00,0.00,0.00
198,NA,26,44.0504,13.32066666,2010-11-11,24.2999992370605 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_201,35 min haul duration,0.03961924091,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,0,0.00,0.00,0.00
199,Italy,1,45.41235,12.53047501,2011-11-21,24.349998474121 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_202,21 min haul duration,0.02681729943,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,0,0.00,0.00,0.00
200,Italy,2,45.60833333,13.13333333,2011-11-22,24.349998474121 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_203,29 min haul duration,0.0353471376,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,0,0.00,0.00,0.00
201,Italy,3,45.64076665,13.48685834,2011-11-22,24.4000015258789 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_204,5 min haul duration,0.01329735946,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,0,0.00,0.00,0.00
202,Italy,4,45.1006,12.38301667,2011-11-21,24.4000015258789 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_205,30 min haul duration,0.03656774014,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,0,0.00,0.00,0.00
203,Italy,5,45.14166667,12.5,2011-11-21,24.5 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_206,23 min haul duration,0.02803790011,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,0,0.00,0.00,0.00
204,Italy,8,44.83228334,12.48010832,2011-11-20,24.5 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_207,34 min haul duration,0.04219685867,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,0,0.00,0.00,0.00
205,Italy,12,44.825,12.525,2011-11-20,24.5499992370605 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_208,31 min haul duration,0.03778833896,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,0,0.00,0.00,0.00
206,Italy,16,44.27429166,12.38578334,2011-11-18,13.6499996185302 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_209,11 min haul duration,0.01316093933,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,"4,180","317,606.50",43.97,"3,340.70"
207,Italy,17,44.32735001,12.56547502,2011-11-18,12.25 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_210,15 min haul duration,0.01828027889,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,"16,029","876,846.56",89.89,"4,917.32"
208,Italy,21,44.1435,12.76005001,2011-11-18,13.1499996185302 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_211,32 min haul duration,0.03900893778,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,"7,120","182,522.27",66.79,"1,712.29"
209,Italy,24,43.91666667,13.00833333,2011-11-17,14.6000003814697 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_212,30 min haul duration,0.0372354798,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,567,"15,227.41",7.86,211.15
210,Italy,25,43.95833333,13.05833333,2011-11-17,14.2999992370605 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_213,31 min haul duration,0.03778833896,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,"1,426","37,736.51",14.23,376.62
211,Italy,27,43.8,13.175,2011-11-17,24.5499992370605 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_214,32 min haul duration,0.03758729994,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,0,0.00,0.00,0.00
212,Italy,28,43.79920832,13.36904167,2011-11-17,19.5499992370605 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_215,31 min haul duration,0.03778833896,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,9,238.17,0.09,2.43
213,Italy,31,43.57464164,13.60879167,2011-11-26,14.9499998092651 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_216,30 min haul duration,0.03656774014,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,210,"5,742.77",4.08,111.60
214,Italy,33,43.37545832,13.71294168,2011-11-26,14.6499996185302 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_217,31 min haul duration,0.03778833896,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,499,"13,205.13",2.58,68.32
215,Italy,34,43.3561,13.89314165,2011-11-28,24.5499992370605 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_218,31 min haul duration,0.03778833896,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,0,0.00,0.00,0.00
216,Italy,37,43.10746667,13.93468332,2011-11-28,24.5499992370605 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_219,31 min haul duration,0.03778833896,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,0,0.00,0.00,0.00
217,Italy,43,45.37918332,12.39175833,2011-11-21,24.6500015258789 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_220,30 min haul duration,0.03778833896,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,0,0.00,0.00,0.00
218,Italy,44,45.45833333,12.7,2011-11-21,24.6500015258789 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_221,33 min haul duration,0.04022235796,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,0,0.00,0.00,0.00
219,Italy,46,44.90833333,12.625,2011-11-20,24.7000007629394 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_222,39 min haul duration,0.04753877968,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,0,0.00,0.00,0.00
220,Italy,47,44.6,12.45833333,2011-11-19,13 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_223,13 min haul duration,0.01584625989,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,"10,378","654,917.94",48.03,"3,030.90"
221,Italy,48,44.06014167,12.61610003,2011-11-18,15.9499998092651 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_224,30 min haul duration,0.03656774014,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,61,"1,668.14",0.17,4.73
222,Italy,49,43.56354167,13.78586667,2011-11-26,24.7000007629394 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_225,31 min haul duration,0.03847043961,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,0,0.00,0.00,0.00
223,Italy,50,43.05631667,14.013875,2011-11-28,24.75 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_226,31 min haul duration,0.03778833896,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,0,0.00,0.00,0.00
224,Italy,55,45.38353333,12.46132499,2011-11-21,24.75 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_227,28 min haul duration,0.03412653878,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,0,0.00,0.00,0.00
225,NA,56,45.33484999,12.88592501,2011-11-20,24.75 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_228,15 min haul duration,0.01828027889,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,0,0.00,0.00,0.00
226,Italy,57,45.0777,12.73307498,2011-11-20,24.75 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_229,30 min haul duration,0.03656774014,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,0,0.00,0.00,0.00
227,Italy,63,44.20526667,12.602775,2011-11-18,12 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_230,15 min haul duration,0.01828027889,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,"17,158","938,607.13",52.08,"2,848.97"
228,Italy,64,44.13654167,12.53092499,2011-11-18,16.3999996185302 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_231,20 min haul duration,0.02437609993,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,46,"1,887.09",0.34,14.03
229,Italy,65,44.08333333,12.75,2011-11-18,13.25 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_232,29 min haul duration,0.0340619199,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,"6,806","199,812.58",50.05,"1,469.38"
230,Italy,66,43.60713336,13.66805833,2011-11-26,19.2999992370605 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_233,31 min haul duration,0.03778833896,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,11,291.10,0.14,3.82
231,Italy,68,42.90074167,13.97423334,2011-11-28,18.3500003814697 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_234,27 min haul duration,0.0329131186,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,22,668.43,0.37,11.10
232,Italy,70,42.58579998,14.231425,2011-11-28,18.75 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_235,32 min haul duration,0.03900893778,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,17,435.80,0.34,8.80
233,Italy,71,42.27234167,14.56263336,2011-11-27,24.75 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_236,30 min haul duration,0.0372354798,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,0,0.00,0.00,0.00
234,Italy,73,42.09354167,14.88348335,2011-11-27,24.75 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_237,30 min haul duration,0.03656774014,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,0,0.00,0.00,0.00
235,Italy,74,41.98915832,15.06709167,2011-11-27,24.7999992370605 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_238,30 min haul duration,0.0372354798,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,0,0.00,0.00,0.00
236,Italy,76,41.99678335,15.68391666,2011-11-27,24.7999992370605 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_239,31 min haul duration,0.03778833896,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,0,0.00,0.00,0.00
237,NA,6,45.25,12.88333333,2011-11-20,24.8500003814697 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_240,15 min haul duration,0.01828027889,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,0,0.00,0.00,0.00
238,NA,9,45.00833333,12.90833333,2011-11-20,24.8500003814697 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_241,33 min haul duration,0.04095472023,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,0,0.00,0.00,0.00
239,NA,10,45.11843333,13.24805,2011-11-15,24.8500003814697 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_242,32 min haul duration,0.03971257806,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,0,0.00,0.00,0.00
240,NA,13,44.6,12.73333333,2011-11-19,24.8500003814697 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_243,34 min haul duration,0.0414429605,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,0,0.00,0.00,0.00
241,NA,14,44.73486665,13.16040833,2011-11-15,24.9500007629394 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_244,31 min haul duration,0.03778833896,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,0,0.00,0.00,0.00
242,NA,18,44.39166667,12.825,2011-11-19,24.9500007629394 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_245,32 min haul duration,0.03900893778,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,0,0.00,0.00,0.00
243,NA,19,44.51435,13.24050833,2011-11-16,24.9500007629394 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_246,17 min haul duration,0.02072148025,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,0,0.00,0.00,0.00
244,Italy,29,43.725,13.60833333,2011-11-17,24.9500007629394 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_247,30 min haul duration,0.03590000048,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,0,0.00,0.00,0.00
245,NA,51,45.33641667,13.080075,2011-11-15,25.0499992370605 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_248,16 min haul duration,0.01950087957,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,0,0.00,0.00,0.00
246,NA,53,44.56080834,13.55599998,2011-11-15,25.0499992370605 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_249,16 min haul duration,0.01950087957,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,0,0.00,0.00,0.00
247,NA,54,44.225,12.975,2011-11-19,25.0499992370605 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_250,31 min haul duration,0.03847043961,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,0,0.00,0.00,0.00
248,NA,58,45.0326,13.24406667,2011-11-15,25.0499992370605 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_251,32 min haul duration,0.03900893778,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,0,0.00,0.00,0.00
249,NA,59,44.69085,12.76843332,2011-11-19,25.1000003814697 m,SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_252,31 min haul duration,0.03709905967,square kilometre,ANADTRA,Anadara transversa,"Anadara transversa (Say, 1822)",urn:lsid:marinespecies.org:taxname:156734,0,0.00,0.00,0.00
